"id","cnpj","codigo_base","nome_empresarial","segmento_listagem","escriturador","classificacao_setorial","atividade_principal","codigos_negociacao","instituicao_financeira"
18,"06.977.745/0001-91","BRML","BR MALLS PARTICIPACOES S.A.","Novo Mercado","Banco Itaú S.A.","Comércio (Atacado e Varejo)","Participação em shopping centers.","BRML3",False
16,"09.305.994/0001-29","AZUL","AZUL S.A.","Nível 2","Banco Bradesco S.A.","Serviços Transporte e Logística","Transporte e Logística.","AZUL4",False
12,"12.091.809/0001-55","RRRP","3R PETROLEUM ÓLEO E GÁS S.A.","Novo Mercado","Banco Itaú S.A.","Petróleo e Gás","Exploração e produção de petróleo e gás natural.","RRRP3",False
25,"02.800.026/0001-40","COGN","COGNA EDUCAÇÃO S.A.","Novo Mercado","Banco Bradesco S.A.","Educação","A Companhia tem por objeto a participação, como sócia ou acionista, em sociedades que explorem a administração de atividades de educação.","COGN3",False
2,"84.429.695/0001-11","WEGE","WEG SA","Novo Mercado","Banco Bradesco S.A.","Máquinas, Equipamentos, Veículos e Peças","Empresa global de equipamentos eletroeletrônicos, atuando principalmente no setor de bens de capital com soluções em máquinas elétricas, automação e tintas, para diversos setores.","WEGE3",False
1,"92.754.738/0001-62","LREN","LOJAS RENNER S.A.","Novo Mercado","Banco Itaú S.A.","Comércio (Atacado e Varejo)","Loja de Departamentos (Comércio Varejista)","LREN3",False
8,"08.402.943/0001-52","GUAR","GUARARAPES CONFECCOES S.A","Novo Mercado","Banco Itaú S.A.","Têxtil e Vestuário","Confecções de roupas e tecidos em geral","GUAR3",False
4,"64.904.295/0001-03","CAML","CAMIL ALIMENTOS S.A.","Novo Mercado","Banco Bradesco S.A.","Alimentos","Industrialização e comercialização de arroz, feijão, pescados, açúcar, massas e café.","CAML3",False
10,"16.590.234/0001-76","ARZZ","AREZZO INDÚSTRIA E COMÉRCIO S.A.","Novo Mercado","Banco Itaú S.A.","Têxtil e Vestuário","O principal ramo de atividade da Companhia é a industrialização e a comercialização de artigos de couro e de plástico em geral, incluindo sapatos, bolsas e acessórios.","ARZZ3",False
20,"01.838.723/0001-27","BRFS","BRF S.A.","Novo Mercado","Banco Itaú S.A.","Alimentos","Industrialização, comercialização, no varejo e no atacado, e exploração de alimentos em geral, principalmente os derivados de proteína animal e produtos alimentícios que utilizem a cadeia de frio como suporte e distribuição.","BRFS3",False
